,close,date,high,low,open,volume
0,304.4,2018-10-01 09:30:00+05:30,304.4,304.4,304.4,150
1,304.4,2018-10-01 09:45:00+05:30,304.4,304.4,304.4,0
2,286.5,2018-10-01 10:00:00+05:30,304.4,286.5,304.4,225
3,288.85,2018-10-01 10:15:00+05:30,290.05,286.45,286.5,825
4,294.85,2018-10-01 10:30:00+05:30,294.85,288.85,288.85,75
5,294.85,2018-10-01 10:45:00+05:30,294.85,294.85,294.85,0
6,300.6,2018-10-01 11:00:00+05:30,302.95,294.85,294.85,1275
7,318.4,2018-10-01 11:15:00+05:30,318.4,300.6,300.6,225
8,316.4,2018-10-01 11:30:00+05:30,318.4,316.4,318.4,150
9,320.2,2018-10-01 11:45:00+05:30,320.45,316.4,316.4,600
10,320.2,2018-10-01 12:00:00+05:30,320.2,320.2,320.2,0
11,312.1,2018-10-01 12:15:00+05:30,320.2,311.45,320.2,300
12,293.0,2018-10-01 12:30:00+05:30,315.7,293.0,312.1,975
13,288.0,2018-10-01 12:45:00+05:30,296.0,281.95,293.0,675
14,294.3,2018-10-01 13:00:00+05:30,295.0,288.0,288.0,300
15,288.0,2018-10-01 13:15:00+05:30,295.4,288.0,294.3,375
16,291.8,2018-10-01 13:30:00+05:30,291.8,283.95,288.0,975
17,291.8,2018-10-01 13:45:00+05:30,291.8,291.8,291.8,0
18,291.8,2018-10-01 14:00:00+05:30,291.8,291.8,291.8,0
19,262.35,2018-10-01 14:15:00+05:30,291.8,262.35,291.8,75
20,263.75,2018-10-01 14:30:00+05:30,263.75,262.35,262.35,150
21,241.55,2018-10-01 14:45:00+05:30,263.75,241.55,263.75,450
22,232.7,2018-10-01 15:00:00+05:30,241.55,232.7,241.55,4050
23,214.9,2018-10-01 15:15:00+05:30,232.7,214.9,232.7,225
24,255.0,2018-10-03 09:15:00+05:30,255.35,252.4,252.8,375
25,255.0,2018-10-03 09:30:00+05:30,255.0,255.0,255.0,0
26,278.9,2018-10-03 09:45:00+05:30,281.9,255.0,255.0,825
27,267.7,2018-10-03 10:00:00+05:30,279.05,267.7,278.9,300
28,267.7,2018-10-03 10:15:00+05:30,267.7,267.7,267.7,0
