Identifier,PriceDate,Close
CASH.OQ,2/13/2017 0:00,88.65
EQN.L,2/13/2017 0:00,195
FDC.N,2/13/2017 0:00,16.14
SQ.N,2/13/2017 0:00,14.5
WPG.L,2/13/2017 0:00,271.2
GTO.AS,2/13/2017 0:00,54.86
WK.N,2/13/2017 0:00,13
WLN.PA,2/13/2017 0:00,25
LXFT.N,2/13/2017 0:00,60.6
RATE.N,2/13/2017 0:00,11.1
TREE.OQ,2/13/2017 0:00,115.8
MONY.L,2/13/2017 0:00,344.3
ENV.N,2/13/2017 0:00,37.7
FDS.N,2/13/2017 0:00,178.62
MORN.OQ,2/13/2017 0:00,78.04
MSCI.N,2/13/2017 0:00,92.79
INFO.OQ,2/13/2017 0:00,39.93
TRI.TO,2/13/2017 0:00,58.63
8570.T,2/13/2017 0:00,2050
AXP.N,2/13/2017 0:00,78.91
COF.N,2/13/2017 0:00,89.03
8253.T,2/13/2017 0:00,2151
DFS.N,2/13/2017 0:00,69.58
KTC.BK,2/13/2017 0:00,0
029780.KS,2/13/2017 0:00,42550
SYF.N,2/13/2017 0:00,36.65
HAWK.OQ,2/13/2017 0:00,38
CASS.OQ,2/13/2017 0:00,66.12
CIEL3.SA,2/13/2017 0:00,28
EDEN.PA,2/13/2017 0:00,20.75
EEFT.OQ,2/13/2017 0:00,79.87
EVTC.N,2/13/2017 0:00,17.2
FIS.N,2/13/2017 0:00,80.91
FLT.N,2/13/2017 0:00,168.25
GPN.N,2/13/2017 0:00,78.22
3769.T,2/13/2017 0:00,6340
GDOT.N,2/13/2017 0:00,26.98
MA.N,2/13/2017 0:00,108.28
MPLU3.SA,2/13/2017 0:00,37.82
UEPS.OQ,2/13/2017 0:00,13.08
PYPL.OQ,2/13/2017 0:00,41.17
PAYS.L,2/13/2017 0:00,416.8
TSS.N,2/13/2017 0:00,54.03
VNTV.N,2/13/2017 0:00,63.76
V.N,2/13/2017 0:00,86.44
WEX.N,2/13/2017 0:00,113.52
WDIG.DE,2/13/2017 0:00,45.71
FISV.OQ,2/13/2017 0:00,110.1
6588.T,2/13/2017 0:00,634
3611.TWO,2/13/2017 0:00,257.5
ZBRA.OQ,2/13/2017 0:00,85.32
8076.TWO,2/13/2017 0:00,59.8
INGC.PA,2/13/2017 0:00,78.98
0327.HK,2/13/2017 0:00,5.66
PAY.N,2/13/2017 0:00,19.34
BKFS.N,2/13/2017 0:00,37.4
JKHY.OQ,2/13/2017 0:00,91.48
QTWO.N,2/13/2017 0:00,31.9
TEMN.S,2/13/2017 0:00,73.45
EPAY.OQ,2/13/2017 0:00,26.05
MYO.AX,2/13/2017 0:00,3.56
XRO.NZ,2/13/2017 0:00,19
GFTG.DE,2/13/2017 0:00,19.675
4307.T,2/13/2017 0:00,3860
WING.DE,2/13/2017 0:00,69.25
EBIX.OQ,2/13/2017 0:00,57.7
GWRE.N,2/13/2017 0:00,54.71
SIM.CO,2/13/2017 0:00,360
SSNC.OQ,2/13/2017 0:00,32.56
DH.TO,2/13/2017 0:00,23.52
DST.N,2/13/2017 0:00,117.42
ELLI.N,2/13/2017 0:00,97.43
FICO.N,2/13/2017 0:00,126.77
IRE.AX,2/13/2017 0:00,11.22
ACIW.OQ,2/13/2017 0:00,19.66
035600.KQ,2/13/2017 0:00,11250
SFUN.N,2/13/2017 0:00,3.4
2120.T,2/13/2017 0:00,802
RMV.L,2/13/2017 0:00,4249
Z.OQ,2/13/2017 0:00,35.19
XTLY.N,2/13/2017 0:00,12.05
TBBK.OQ,2/13/2017 0:00,4.98
8114.TW,2/13/2017 0:00,167.5
BLUJ.J,2/13/2017 0:00,1835
ZPLAZ.L,2/13/2017 0:00,381.8
QIWI.OQ,2/13/2017 0:00,14.69
FSMARTm.BK,2/13/2017 0:00,0
NXGN.L,2/13/2017 0:00,570.5
